Nicolas Boulanger-Lewandowski
Alexandre de Brebisson
Jan Chorowski
Yann N. Dauphin
Guillaume Desjardins
Ian Goodfellow
Balazs Hidasi
Alex Lamb
Zhouhan Lin
Roland Memisevic
Bart van Merrienboer
Christopher Pal
Peter Sadowski
Dmitriy Serdyuk
Sebastian Urban
Pascal Vincent
Francesco Visin
Harm de Vries
David Warde-Farley
Kelvin Xu
Ichiro Takeuchi
Ryan Lowe
Joelle Pineau
Mohamed S. Kamel
Wei Wang
Chelsea Finn
Trevor Darrell
Sergey Levine
Alexander Semenov
Joohyung Lee
Yi Wang
Hung-yi Lee
Maurice Bruynooghe
Chris Biemann
Alexander Panchenko
Yi Zhou
Qirong Ho
Abhimanu Kumar
Yaoliang Yu
Nicolas Papernot
Patrick McDaniel
Ananthram Swami
Minh-Thang Luong
Mohamed Nazih Omri
Steven C. H. Hoi
Farzad Khalvati
Alexey Dosovitskiy
Patrick van der Smagt
Thomas Brox
Yingying Fan
Jinchi Lv
Min-Yen Kan
Naren Ramakrishnan
Jonathan T. Barron
Johan Dahlin
Fredrik Lindsten
Thomas B. Schon
Artur d'Avila Garcez
Fisher Yu
Brendan J. Frey
Zhiyuan Tang
Gavin Taylor
Ron Parr
Yuncheng Li
Hakan Bilen
Tengyuan Liang
Tomaso Poggio
Jia Deng
Jose Miguel Hernandez-Lobato
Matthew W. Hoffman
Tomas Kocisky
Iryna Gurevych
Le Lu
Ari Seff
Kentaro Inui
Margret Keuper
Cheng-Lin Liu
Yossi Adi
Evan Shelhamer
Weiyang Liu
Zhiding Yu
Yandong Wen
Meng Yang
Brendan O'Connor
Takafumi Kanamori
Nal Kalchbrenner
Edward Grefenstette
Xinhua Zhang
Haim Avron
Pascal Mettes
Jan C. van Gemert
Cees G. M. Snoek
Scott Sanner
Craig Boutilier
